YS(Mpa),UTS(Mpa),%EL,Charpy Energy at -80 C
695.648,1029.7852,26.031073,53.95556
711.9314,848.43365,32.135826,48.438107
692.7922,1019.422,27.426647,29.39858
708.11346,839.9509,34.964848,48.223885
735.71094,1084.9456,24.650251,52.680912
657.1441,1093.7045,25.853167,50.009132
729.99304,1035.3665,26.750387,32.303658
643.7527,899.03186,33.045937,47.786636
640.7797,898.2252,31.649725,58.639847
769.8914,835.79065,30.61796,51.7646
698.81226,1055.0121,26.013687,52.362247
722.18317,1043.7217,24.949673,61.545765
749.9352,783.4434,31.14957,66.06485
704.8136,1063.191,25.695513,54.114708
695.9655,1043.7582,25.766918,57.495804
724.76294,1031.1189,26.632725,53.07219
721.1678,1042.0531,26.692923,34.409496
640.7797,898.2252,31.649725,58.639847
755.24945,808.0293,34.12137,61.3023
728.18317,738.8231,35.427902,51.332733
609.7077,682.94183,37.976395,51.293026
771.44617,904.7526,25.790646,52.259598
629.72974,1060.418,25.895624,58.488052
675.5455,1042.9639,26.457354,57.94278
697.9334,1028.2008,26.115108,59.571842
708.18695,766.7528,34.48956,66.098404
760.7118,1053.6792,22.792423,63.701385
751.32983,1044.1456,23.292671,63.25162
707.29675,1053.7184,26.243883,53.155354
760.3859,879.9337,28.144838,62.693573
729.7132,1022.253,26.632685,33.213676
736.8617,1052.9214,25.988647,46.36438
597.26886,866.03253,32.275616,63.221695
669.67914,1006.28033,26.568316,67.98994
799.70306,768.93567,33.21969,51.328045
730.8614,880.73474,31.348248,53.907867
741.7048,1047.1393,26.10922,44.417507
587.5424,1004.36646,27.618025,59.252964
730.9381,995.1483,25.934725,53.89172
715.2377,1025.8021,25.917704,67.01716
731.9797,787.49133,35.18012,51.278854
678.28723,862.73737,31.180815,63.705612
738.9261,1041.6156,25.679392,52.14322
756.5162,813.1304,33.91789,52.128582
646.6932,1092.5376,25.99063,49.64643
760.3482,1040.8649,22.349297,63.844337
711.84143,765.0723,30.980556,66.97342
773.6492,835.9672,30.345392,46.185425
715.36456,749.84717,35.797928,62.463444
741.5302,783.7754,31.403357,65.1979
697.2755,1002.133,26.502726,61.788197
792.7014,785.8981,33.957817,50.591053
796.9202,795.08594,33.61363,41.90972
690.37335,807.0755,33.218266,64.45023
702.3749,887.2676,32.096046,53.00578
661.12885,1046.2734,27.164103,36.691875
702.4843,1093.2542,25.124708,49.186295
709.3752,762.1058,35.996994,63.43267
767.5655,838.81244,30.510614,51.787735
710.4106,1025.4058,26.10772,66.18231
777.25635,840.2669,28.987537,45.185993
753.2658,784.69965,28.694742,63.761024
720.3136,855.8159,31.940912,53.598278
698.7012,1031.3668,25.572838,66.771904
761.098,885.2481,30.11635,61.978333
670.711,798.8663,35.277557,64.43196
768.412,1076.6967,24.649626,53.752007
730.2624,1024.5015,26.61418,32.242905
715.507,1025.5211,26.379086,62.765217
747.05475,1008.4815,25.82363,49.061756
762.22284,768.5834,34.914066,41.27116
616.595,865.2964,33.688976,45.77539
745.3161,888.96265,30.963917,52.45836
746.3986,1029.7228,18.89151,66.96544
678.07007,717.19415,34.227493,68.549324
678.4901,1041.74,26.398552,55.480354
785.72577,798.186,33.972263,51.615067
717.99365,893.1777,31.88765,50.1711
665.1221,1080.9127,26.783045,50.97951
621.6628,1062.9652,27.703922,31.678898
715.918,1014.35187,25.385708,62.901066
772.48944,1028.14,23.999895,54.593037
710.3314,1027.7377,26.3357,57.773327
720.1752,856.4793,31.907661,53.630383
712.3511,991.7633,23.376091,68.462074
735.00867,745.1854,34.236332,66.847015
709.28955,1024.055,26.525187,60.921246
