f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
7.24E+01,1.71E+03,7.06E+01,2.06E+00,3.45E+02,3.80E+04,-1.03E+03,-1.48E+01,-1.89E+02,1.83E+00,2.58E-01
7.25E+01,1.71E+03,7.06E+01,2.06E+00,3.46E+02,3.81E+04,-1.04E+03,-1.48E+01,-1.89E+02,1.85E+00,2.63E-01
7.23E+01,1.71E+03,7.07E+01,2.05E+00,3.43E+02,3.79E+04,-1.01E+03,-1.48E+01,-1.88E+02,1.85E+00,2.86E-01
7.24E+01,1.71E+03,7.05E+01,2.06E+00,3.45E+02,3.80E+04,-1.03E+03,-1.48E+01,-1.89E+02,1.83E+00,2.52E-01
7.24E+01,1.72E+03,7.06E+01,2.07E+00,3.50E+02,3.83E+04,-1.08E+03,-1.48E+01,-1.90E+02,1.91E+00,1.95E-01
7.23E+01,1.71E+03,7.07E+01,2.05E+00,3.43E+02,3.79E+04,-1.01E+03,-1.48E+01,-1.88E+02,1.85E+00,2.86E-01
7.24E+01,1.71E+03,7.05E+01,2.06E+00,3.45E+02,3.80E+04,-1.03E+03,-1.48E+01,-1.89E+02,1.83E+00,2.52E-01
7.24E+01,1.72E+03,7.06E+01,2.07E+00,3.49E+02,3.83E+04,-1.07E+03,-1.48E+01,-1.90E+02,1.91E+00,1.99E-01
7.23E+01,1.71E+03,7.07E+01,2.05E+00,3.43E+02,3.79E+04,-1.01E+03,-1.48E+01,-1.88E+02,1.85E+00,2.86E-01
7.24E+01,1.71E+03,7.05E+01,2.06E+00,3.45E+02,3.80E+04,-1.03E+03,-1.48E+01,-1.89E+02,1.83E+00,2.52E-01
7.24E+01,1.71E+03,7.06E+01,2.06E+00,3.45E+02,3.80E+04,-1.03E+03,-1.48E+01,-1.89E+02,1.83E+00,2.58E-01
7.24E+01,1.72E+03,7.07E+01,2.06E+00,3.48E+02,3.82E+04,-1.05E+03,-1.48E+01,-1.89E+02,1.93E+00,2.28E-01
7.23E+01,1.71E+03,7.07E+01,2.05E+00,3.43E+02,3.79E+04,-1.01E+03,-1.48E+01,-1.88E+02,1.86E+00,2.85E-01
