stock,harvest_value,npv,decvars
-397.2384802585789,-98409.5181789288,-84282.18692211277,"['x_2_208.0_donothing', 'x_2_209.0_above_2050', 'x_2_210.0_clearcut_2050', 'x_2_231.0_donothing', 'x_2_249.0_above_2050', 'x_2_250.0_clearcut_2050', 'x_2_251.0_donothing', 'x_2_252.0_even_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_above_2050']"
1981.724862844246,-214336.37321949977,-85798.47698464285,"['x_2_208.0_donothing', 'x_2_209.0_above_2050', 'x_2_210.0_above_2040 + clearcut_2050', 'x_2_231.0_donothing', 'x_2_249.0_above_2050', 'x_2_250.0_above_2040', 'x_2_251.0_above_2050', 'x_2_252.0_above_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_even_2050', 'x_2_286.0_clearcut_2040']"
1189.7524583631805,-180826.1048985846,-84877.2852843943,"['x_2_208.0_donothing', 'x_2_209.0_clearcut_2050', 'x_2_210.0_clearcut_2050', 'x_2_231.0_donothing', 'x_2_249.0_clearcut_2050', 'x_2_250.0_clearcut_2050', 'x_2_251.0_above_2050', 'x_2_252.0_clearcut_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_above_2050', 'x_2_286.0_clearcut_2050']"
2977.393415520699,-250416.3411343585,-85803.61285650078,"['x_2_208.0_donothing', 'x_2_209.0_above_2050', 'x_2_210.0_clearcut_2050', 'x_2_231.0_donothing', 'x_2_249.0_clearcut_2050', 'x_2_250.0_clearcut_2050', 'x_2_251.0_above_2050', 'x_2_252.0_even_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_above_2050', 'x_2_286.0_clearcut_2050']"
1921.9534553115984,-211687.7668346664,-85721.03001037346,"['x_2_208.0_donothing', 'x_2_209.0_clearcut_2050', 'x_2_210.0_clearcut_2050', 'x_2_231.0_above_2050', 'x_2_249.0_clearcut_2050', 'x_2_250.0_clearcut_2050', 'x_2_251.0_clearcut_2050', 'x_2_252.0_even_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2050']"
-2236.318454410078,-13069.10399078033,-79930.71578019125,"['x_2_208.0_donothing', 'x_2_209.0_clearcut_2050', 'x_2_210.0_clearcut_2050', 'x_2_231.0_donothing', 'x_2_249.0_clearcut_2050', 'x_2_250.0_clearcut_2050', 'x_2_251.0_above_2050', 'x_2_252.0_above_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2050']"
2153.508907560552,-47142.81634915923,-102210.74391885108,"['x_2_208.0_donothing', 'x_2_209.0_donothing', 'x_2_210.0_below_2040 + clearcut_2050', 'x_2_231.0_donothing', 'x_2_249.0_donothing', 'x_2_250.0_above_2040 + clearcut_2050', 'x_2_251.0_donothing', 'x_2_252.0_even_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_above_2040']"
1014.5555309333328,-118678.8890693154,-90805.95723119576,"['x_2_208.0_donothing', 'x_2_209.0_clearcut_2040', 'x_2_210.0_clearcut_2040', 'x_2_231.0_above_2040', 'x_2_249.0_clearcut_2040', 'x_2_250.0_clearcut_2040', 'x_2_251.0_even_2040 + clearcut_2050', 'x_2_252.0_above_2040 + clearcut_2050', 'x_2_253.0_above_2050', 'x_2_256.0_above_2050', 'x_2_279.0_above_2050', 'x_2_286.0_clearcut_2040']"
2330.587260210976,-77876.53595022303,-100497.90084565055,"['x_2_208.0_donothing', 'x_2_209.0_above_2040', 'x_2_210.0_above_2050', 'x_2_231.0_above_2050', 'x_2_249.0_clearcut_2050', 'x_2_250.0_clearcut_2050', 'x_2_251.0_above_2040', 'x_2_252.0_above_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2040']"
-886.7244450638707,-4660.16818033689,-90717.60469874572,"['x_2_208.0_donothing', 'x_2_209.0_clearcut_2040', 'x_2_210.0_above_2040', 'x_2_231.0_above_2040', 'x_2_249.0_above_2040 + clearcut_2050', 'x_2_250.0_clearcut_2040', 'x_2_251.0_above_2040 + clearcut_2050', 'x_2_252.0_above_2040', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_above_2050', 'x_2_286.0_clearcut_2040']"
